lambda,relative_error,residual_norm,solution_norm,noise_norm
1.4443214647272789e-05,0.8423646777518938,0.008014314700094054,7.25112313552867,0.0026375265738683546
1.9684194472866074e-05,0.8460838029401764,0.00922373311559553,7.1656536908775905,0.0026375265738683546
2.6826957952797274e-05,0.8497813279966452,0.010629344475365744,7.080722571853667,0.0026375265738683546
3.656160144085193e-05,0.8534123623676336,0.012278530008615908,6.995366900606967,0.0026375265738683546
4.982863514647296e-05,0.8569421530368028,0.01423973381465775,6.9081198593980195,0.0026375265738683546
6.790985029955692e-05,0.8603586199793127,0.016601226792865055,6.817345410616462,0.0026375265738683546
9.255215909791353e-05,0.8636763642733658,0.019466155193183354,6.721570367286522,0.0026375265738683546
0.00012613637220374423,0.8669320065639161,0.022946660973103012,6.6196988438585835,0.0026375265738683546
0.0001719072201858571,0.8701744747836005,0.027159922182960025,6.51108281679389,0.0026375265738683546
0.00023428684237322258,0.8734545915484302,0.03222744590148221,6.395485039299045,0.0026375265738683546
0.0003193020307691027,0.8768167993878418,0.038277464765150815,6.27298371558335,0.0026375265738683546
0.00043516650709244113,0.880293839105379,0.04545012648611421,6.143847228623569,0.0026375265738683546
0.0005930744895010547,0.8839041741130613,0.05390570728544369,6.008389346109344,0.0026375265738683546
0.0008082822192522723,0.8876522293649552,0.06383526455193057,5.866830794047428,0.0026375265738683546
0.0011015819387358995,0.8915317757647225,0.0754703376121566,5.719224734876815,0.0026375265738683546
0.001501310728908171,0.8955316155887438,0.08908654855553301,5.565494149523787,0.0026375265738683546
0.002046088289466007,0.8996409055474913,0.10499894172312697,5.405559836627213,0.0026375265738683546
0.0027885481717262917,0.9038514545612086,0.12355274534787195,5.239476062600464,0.0026375265738683546
0.003800422956365882,0.9081567194444148,0.14511506529135584,5.0675088003001,0.0026375265738683546
0.005179474679231202,0.9125494361389095,0.17006854492224868,4.890161173395893,0.0026375265738683546
0.007058940086618723,0.9170196077450493,0.19880422574367507,4.708181107718392,0.0026375265738683546
0.00962040327106476,0.9215528480570008,0.23171528868474248,4.522545011618177,0.0026375265738683546
0.01311133937421563,0.9261282660378765,0.2692046702574526,4.334354404936128,0.0026375265738683546
0.01786902433735825,0.9307160361065807,0.3117286370022937,4.144578705175888,0.0026375265738683546
0.024353120734334075,0.93527646919345,0.3598941267312074,3.953651612637369,0.0026375265738683546
0.03319008795914677,0.9397631685025909,0.414600762860563,3.761054516249223,0.0026375265738683546
0.04523370744772096,0.9441315333308684,0.47717087368695066,3.5651179977548333,0.0026375265738683546
0.06164757056337149,0.9483505664157288,0.5493692837053782,3.3632385657585115,0.0026375265738683546
0.0840174986929431,0.952412752512345,0.6332231876905207,3.152521230510947,0.0026375265738683546
0.11450475699382812,0.9563364920598757,0.7306313091709434,2.9306413737133203,0.0026375265738683546
0.15605486450070716,0.9601588476270138,0.8428597399293607,2.6966279670220548,0.0026375265738683546
0.2126821747296204,0.9639209771666976,0.9700811065730962,2.4513424872233665,0.0026375265738683546
0.2898577214651068,0.9676516930796251,1.111086143052609,2.197575623808102,0.0026375265738683546
0.39503780135666405,0.9713548285929176,1.263220976359867,1.9398043975829873,0.0026375265738683546
0.5383843622033478,0.9750041402933916,1.4225400992211128,1.683709997954991,0.0026375265738683546
0.7337467970651358,0.9785466353911259,1.584138888105889,1.4355648330087172,0.0026375265738683546
1.0,0.9819125989973012,1.742633098251341,1.2015698995058457,0.0026375265738683546
